Key,en | English (UK),zh | Chinese (Simplified),de | German,it | Italian,pt | Portuguese (Brazil),ro | Romanian,da | Danish,es | Spanish,fr | French,tr | Turkish
addLabelFlow.serial,Serial,多个,Serienmäßig,Seriale,Em série,Serie,Seriel,En serie,En série,Seri
addLabelFlow.everyLabelHasAUniqueQrCode,Every label has a unique QR code,每个标签都有唯一的二维码,Jedes Etikett hat einen einzigartigen QR-Code,Ogni etichetta ha un codice QR unico,Cada etiqueta tem um código QR exclusivo,Fiecare etichetă are un cod QR unic,Hver etiket har en unik QR-kode,Cada etiqueta tiene un código QR único,Chaque étiquette a un code QR unique,Her etiketin benzersiz bir QR kodu vardır
addLabelFlow.preview,Preview,预览,Vorschau,Anteprima,Pré-visualização,Previzualizare,Forhåndsvisning,Vista previa,Aperçu,Önizleme
addLabelFlow.10MoreQrCodesAddedByDefaultToCoverPotentialLabelWaste,10% more QR codes added by default to cover potential label waste.,默认添加10%以上的二维码以覆盖潜在的标签损耗。,"Standardmäßig werden 10% mehr QR-Codes hinzugefügt, um möglichen Etikettenausschuss zu berücksichtigen.",10% di codici QR in più aggiunti per impostazione predefinita per coprire i potenziali sprechi di etichette.,10% mais códigos QR adicionados por padrão para cobrir possíveis desperdícios de etiquetas.,10% mai multe coduri QR adăugate în mod implicit pentru a acoperi eventualele deșeuri de etichete.,10% flere QR-koder tilføjet som standard for at dække potentielt etiketspild.,10% más de códigos QR añadidos por defecto para cubrir posibles residuos de etiquetas.,10% de codes QR supplémentaires ajoutés par défaut pour couvrir les pertes potentielles d'étiquettes.,Olası etiket israfını karşılamak için varsayılan olarak %10 daha fazla QR kodu eklenir.
addLabelFlow.setLabelName,Set Label Name,设置标签名,Etikettenname festlegen,Imposta nome etichetta,Definir nome da etiqueta,Setați numele etichetei,Indstil etiketnavn,Establecer nombre de etiqueta,Définir le nom de l'étiquette,Etiket Adını Ayarla
addLabelFlow.projectName,Project Name,项目名,Projektname,Nome del progetto,Nome do projeto,Nume proiect,Projektets navn,Nombre del proyecto,Nom du projet,Proje Adı
addLabelFlow.labelCustomerNumber,Label Customer Number, 标签客户编号, Etikettenkundennummer, Numero cliente etichetta, Número do cliente da etiqueta, Numărul clientului etichetei, Etiketkundenummer, Número de cliente de etiqueta, Numéro de client d'étiquette, Etiket Müşteri Numarası
addLabelFlow.article,Article Number,物品编号, Artikelnummer,Numero articolo,Número do artigo,Numărul articolului,Varenummer,Número de artículo,Référence de l'article,Makale Numarası
addLabelFlow.printProvider,Print Provider Name,打印提供商名称, Druckdienstleister-Name, Nome del fornitore di stampa, Nome do provedor de impressão, Numele furnizorului de imprimare, Udbyder af printnavn, Nombre del proveedor de impresión, Nom du fournisseur d'impression, Baskı Sağlayıcı Adı
addLabelFlow.labelCustomer,Label Customer Company Name,标签客户公司名称, Etikettenkundenfirmenname, Nome della società cliente dell'etichetta, Nome da empresa cliente da etiqueta, Numele companiei clientului etichetei, Etiketkundefirma, Nombre de la empresa cliente de etiquetas, Nom de la société cliente d'étiquettes, Etiket Müşteri Şirket Adı
addLabelFlow.moreOptions,More Options,更多选项,Mehr Optionen,Altre opzioni,Mais opções,Mai multe opțiuni,Mere muligheder,Más opciones,Plus d'options,Daha Fazla Seçenek
addLabelFlow.editOrder,Edit Order,编辑订单,Bestellung bearbeiten,Modifica dell'ordine,Ordem de edição,Editați comanda,Rediger ordre,Editar orden,Editer la commande,Siparişi Düzenle
addLabelFlow.image,Image,图形,Bild,Immagine,Imagem,Imagine,Billede,Imagen,Image,Resim
projectPage.readyInMinute_one,ready in 1 minute,预计 1 分钟完成,In 1 Minute fertig,pronto in 1 minuto,pronto em 1 minuto,gata în 1 minut,klar på 1 minut,listo en 1 minuto,prêt en 1 minute,1 dakika içinde hazır
projectPage.readyInMinute_other,ready in {{count}} minutes,预计 {{count}} 分钟完成,fertig in {{count}} Minuten,pronto in {{count}} minuti,pronto em {{count}} minutos,gata în {{count}} minute,klar om {{count}} minutter,listo en {{count}} minutos,prêt dans {{count}} minutes,{{count}} dakika içinde hazır
projectPage.destinationLink,Destination Link,链接目标,Ziel-Link,Link di destinazione,Link de destino,Link de destinație,Link til destination,Enlace de destino,Lien de destination,Hedef Bağlantı
projectPage.deleteLabel, Delete label, 删除标签, Etikett löschen, Elimina etichetta, Excluir etiqueta, Ștergeți eticheta, Slet etiket, Eliminar etiqueta, Supprimer l'étiquette, Etiketi sil
projectPage.deleteOrder, Delete order, 删除订单, Bestellung löschen, Elimina ordine, Excluir pedido, Ștergeți comanda, Slet ordre, Eliminar pedido, Supprimer la commande, Siparişi sil
projectPage.renameLabel,Rename label, 重命名标签, Etikett umbenennen, Rinomina etichetta, Renomear etiqueta, Redenumiți eticheta, Omdøb etiket, Cambiar nombre de etiqueta, Renommer l'étiquette, Etiketi yeniden adlandır
projectPage.labelTitle,Label Title,标签标题,Etiketten-Titel,Titolo etichetta,Título da etiqueta,Titlul etichetei,Etiket titel,Título de la etiqueta,Titre de l'étiquette,Etiket Başlığı
projectPage.orderNo,Order No.,订单号,Auftrags-Nr.,Numero d'ordine,Número do pedido,Nr. de comandă,Ordre nr.,Nº de pedido,N° de commande,Sipariş No.
projectPage.qrCode,QR Code,二维码,QR-Code,Codice QR,Código QR,Cod QR,QR-kode,Código QR,Code QR,QR Kodu
projectPage.downloadLink,Download Link,下载链接,Link zum herunterladen,Link per il download,Link para download,Link de descărcare,Link til download,Enlace de descarga,Lien de téléchargement,İndirme Bağlantısı
projectPage.noVisitors,No Visitors,访问数为0,Keine Besucher,Nessun visitatore,Nenhum visitante,Fără vizitatori,Ingen besøgende,No Visitantes,Pas de visiteurs,Ziyaretçi Yok
projectPage.visitor_one,Visitor,访问数,Besucher,Visitatore,Visitante,Vizitator,Besøgende,Visitante,Visiteur,Ziyaretçi
projectPage.scan_one, Scan, 扫描, Scan, Scansione, Digitalizar, Scanare, Scan, Escanear, Scan, Tarama
projectPage.scan_other, Scans, 扫描, Scans, Scans, Scans, Scans, Scans, Scans, Scans, Taramalar
projectPage.visitor_other,Visitors,访问数,Besucher,Visitatori,Visitantes,Vizitatori,Besøgende,Visitantes,Visiteurs,Ziyaretçiler
projectPage.generationNotStarted,Generation not started,无法生成,Generierung startet gleich,La generazione sta per iniziare,A geração está prestes a começar,Generația este pe cale să înceapă,Generationen er ved at starte,La generación está a punto de empezar,La génération va commencer,Nesil başlamak üzere
projectPage.editOrder,Edit order,编辑订单,Bestellung bearbeiten,Modifica ordine,Editar pedido,Editați comanda,Rediger ordre,Editar pedido,Editer la commande,Siparişi düzenle
projectPage.visitor,Visitor,访问数,Besucher,Visitatore,Visitante,Vizitator,Besøgende,Visitante,Visiteur,Ziyaretçi
projectPage.editOrder,Edit Order,编辑订单,Bestellung bearbeiten,Modifica dell'ordine,Ordem de edição,Editați comanda,Rediger ordre,Editar orden,Editer la commande,Siparişi Düzenle
projectPage.processing,Processing,处理,In Bearbeitung,Elaborazione,Processamento,Procesare,Behandling,Procesar,Traitement,İşleme
projectPage.generating,Generating,生成,Generiert,Generazione,Geração de pedidos,Generarea,Generering,Generar,Générer,Üretim
projectPage.orderName,Order Name,订单名称,Name der Bestellung,Nome dell'ordine,Nome do pedido,Numele comenzii,Ordrenavn,Nombre del pedido,Nom de la commande,Sipariş adı
projectPage.noOrders,No orders,无订单,Keine Aufträge,Nessun ordine,Nenhum pedido,Nu există comenzi,Ingen ordrer,No hay pedidos,Pas de commande,Sipariş yok
projectPage.connectDomain, Connect Domain, 连接域名, Verbinden Sie die Domain, Collega il dominio, Conectar domínio, Conectați domeniul, Forbind domæne, Conectar dominio, Connecter le domaine, Alan adını bağlayın
projectPage.restartDomainVerification, Restart domain verification, 重新开始域名验证, Starten Sie die Domain-Verifizierung neu, Riavvia la verifica del dominio, Reiniciar verificação de domínio, Reporniți verificarea domeniului, Genstart domæneverifikation, Reiniciar verificación de dominio, Redémarrer la vérification de domaine, Alan adı doğrulamasını yeniden başlatın
projectPage.domainVerificationInstructions,Create three CNAME records with your domain provider with the following values., 使用以下值在您的域名提供商处创建三个 CNAME 记录。, Erstellen Sie drei CNAME-Einträge bei Ihrem Domain-Anbieter mit den folgenden Werten., Crea tre record CNAME con il tuo provider di dominio con i seguenti valori., Crie três registros CNAME com seu provedor de domínio com os seguintes valores., Creați trei înregistrări CNAME cu furnizorul dvs. de domeniu cu următoarele valori., Opret tre CNAME-poster med din domæneudbyder med følgende værdier., Cree tres registros CNAME con su proveedor de dominio con los siguientes valores., Créez trois enregistrements CNAME avec votre fournisseur de domaine avec les valeurs suivantes., Aşağıdaki değerlerle alan adı sağlayıcınızda üç CNAME kaydı oluşturun.
projectPage.domainVerificationNote, Note: For some providers you need to omit the domain at the end of the CNAME record names., 注意：对于某些提供商，您需要在 CNAME 记录名称的末尾省略域名。, Hinweis: Bei einigen Anbietern müssen Sie die Domain am Ende der CNAME-Eintragsnamen weglassen., Nota: per alcuni provider è necessario omettere il dominio alla fine dei nomi dei record CNAME., "Nota: para alguns provedores, você precisa omitir o domínio no final dos nomes dos registros CNAME.", Notă: Pentru unii furnizori trebuie să omiteți domeniul la sfârșitul numelor de înregistrări CNAME., Bemærk: For nogle udbydere skal du udelade domænet i slutningen af CNAME-postnavnene., "Nota: para algunos proveedores, debe omitir el dominio al final de los nombres de los registros CNAME.", "Remarque : pour certains fournisseurs, vous devez omettre le domaine à la fin des noms d'enregistrement CNAME.", Not: Bazı sağlayıcılar için CNAME kayıt adlarının sonunda alan adını atlamalısınız.
projectPage.domainVerificationNameserverInstructions, Navigate to the DNS settings for your domain. Replace any existing nameservers with the four following ones:, 导航到您的域名的 DNS 设置。将任何现有的名称服务器替换为以下四个名称服务器：, Navigieren Sie zu den DNS-Einstellungen für Ihre Domain. Ersetzen Sie alle vorhandenen Nameserver durch die folgenden vier:, Passa alle impostazioni DNS per il tuo dominio. Sostituisci tutti i nameserver esistenti con i seguenti quattro:, Navegue até as configurações de DNS para seu domínio. Substitua todos os servidores de nome existentes pelos quatro seguintes:, Navigați la setările DNS pentru domeniul dvs. Înlocuiți orice servere de nume existente cu următoarele patru:, Gå til DNS-indstillingerne for dit domæne. Erstat eventuelle eksisterende navneservere med de følgende fire:, Vaya a la configuración de DNS de su dominio. Reemplace cualquier servidor de nombres existente con los siguientes cuatro:, Accédez aux paramètres DNS de votre domaine. Remplacez tous les serveurs de noms existants par les quatre suivants :, Alan adınızın DNS ayarlarına gidin. Mevcut tüm ad sunucularını aşağıdaki dört ad sunucusuyla değiştirin:
projectPage.domainVerificationNameserverNote, "Note: Switching nameservers to ours will transfer DNS control to us. This may disrupt subdomains, emails, and other settings. Proceed with caution.",,,,,,,,,
projectPage.cnameRecordName, CNAME record name:, CNAME 记录名称:, CNAME-Eintragsname:, Nome del record CNAME:, Nome do registro CNAME:, Numele înregistrării CNAME:, CNAME-postnavn:, Nombre del registro CNAME:, Nom de l'enregistrement CNAME:, CNAME kayıt adı:
projectPage.cnameRecordValue, CNAME record value:, CNAME 记录值:, CNAME-Eintragswert:, Valore del record CNAME:, Valor do registro CNAME:, Valoarea înregistrării CNAME:, CNAME-postværdi:, Valor del registro CNAME:, Valeur de l'enregistrement CNAME:, CNAME kayıt değeri:
projectPage.deleteOrderTitle, Are you sure you want to delete this order?, 您确定要删除此订单吗？, Möchten Sie diese Bestellung wirklich löschen?, Sei sicuro di voler eliminare questo ordine?, Tem certeza de que deseja excluir este pedido?, Sigur doriți să ștergeți această comandă?, "Er du sikker på, at du vil slette denne ordre?", ¿Está seguro de que desea eliminar este pedido?, Êtes-vous sûr de vouloir supprimer cette commande ?, Bu siparişi silmek istediğinizden emin misiniz?
projectPage.deleteProjectTitle, Are you sure you want to delete this project?, 您确定要删除此项目吗？, Möchten Sie dieses Projekt wirklich löschen?, Sei sicuro di voler eliminare questo progetto?, Tem certeza de que deseja excluir este projeto?, Sigur doriți să ștergeți acest proiect?, "Er du sikker på, at du vil slette dette projekt?", ¿Está seguro de que desea eliminar este proyecto?, Êtes-vous sûr de vouloir supprimer ce projet ?, Bu projeyi silmek istediğinizden emin misiniz?
projectPage.share,Share,分享,,,,,,,,
projectPage.transfer, Transfer ownership, 转移所有权, Eigentum übertragen, Trasferisci proprietà, Transferir propriedade, Transferați proprietatea, Overfør ejerskab, Transferir propiedad, Transférer la propriété, Sahipliği aktar
projectPage.analytics, Analytics, 分析, Analytics, Analytics, Analytics, Analytics, Analytics, Analytics, Analytics, Analytics
projectPage.sharedWith, Shared with, 共享给, Geteilt mit, Condiviso con, Compartilhado com, Partajat cu, Delte med, Compartido con, Partagé avec, Paylaşılan
transferOwnershipPage.cannotTransferNote, "Ownership can only be transferred to active, not pending users.", "所有权只能转移给活跃用户，而不能转移给待定用户"。, "Das Eigentum kann nur an aktive, nicht an ausstehende Benutzer übertragen werden.", "La proprietà può essere trasferita solo a utenti attivi, non in attesa.", "A propriedade só pode ser transferida para usuários ativos, não pendentes.", "Proprietatea poate fi transferată numai utilizatorilor activi, nu celor în așteptare.", "Ejerskab kan kun overføres til aktive, ikke ventende brugere.", "La propiedad solo se puede transferir a usuarios activos, no pendientes.", "La propriété ne peut être transférée qu'aux utilisateurs actifs, pas en attente.", "Sahiplik yalnızca etkin, bekleyen kullanıcılara devredilebilir."
transferOwnershipPage.transferOwnershipFor, Transfer ownership for,,,,,,,,,
transferOwnershipPage.transferOwnershipTo, Transfer ownership to {{newline}} {{name}}, 将所有权转移给 {{newline}} {{name}}, Übertragen Sie das Eigentum an {{newline}} {{name}}, Trasferisci la proprietà a {{newline}} {{name}}, Transferir propriedade para {{newline}} {{name}}, Transferați proprietatea la {{newline}} {{name}}, Overfør ejerskab til {{newline}} {{name}}, Transferir propiedad a {{newline}} {{name}}, Transférer la propriété à {{newline}} {{name}}, Sahipliği \n {{name}}'e aktar
transferOwnershipPage.confirm,"Yes, transfer",是的，转移,"Ja, übertragen","Sì, trasferisci","Sim, transferir","Da, transferați","Ja, overfør","Sí, transferir","Oui, transférer","Evet, aktar"
fallbackPage.yourQRCodeWorks, Your QR code works!, 您的二维码有效！, Ihr QR-Code funktioniert!, Il tuo codice QR funziona!, Seu código QR funciona!, Codul QR funcționează!, Din QR-kode virker!, ¡Tu código QR funciona!, Votre code QR fonctionne !, QR kodunuz çalışıyor!
fallbackPage.successDescription, "Now edit and customise your QR destination to display your desired content!", "现在编辑和自定义您的 QR 目标，以显示您想要的内容！", "Bearbeiten und passen Sie jetzt Ihr QR-Ziel an, um Ihren gewünschten Inhalt anzuzeigen!", "Ora modifica e personalizza la tua destinazione QR per visualizzare il contenuto desiderato!", "Agora edite e personalize seu destino QR para exibir o conteúdo desejado!", "Acum editați și personalizați destinația QR pentru a afișa conținutul dorit!", "Rediger og tilpas nu din QR-destination for at vise dit ønskede indhold!", "¡Ahora edite y personalice su destino QR para mostrar el contenido deseado!", "Modifiez et personnalisez maintenant votre destination QR pour afficher le contenu souhaité !", "Şimdi QR hedefinizi düzenleyin ve özelleştirin, istediğiniz içeriği görüntüleyin!"
fallbackPage.cta, Edit page(s), 编辑页面, Seite(n) bearbeiten, Modifica pagina(e), Editar página(s), Editați pagina(e), Rediger side(r), Editar página(s), Modifier la (les) page(s), Sayfa(ları) düzenle
addTeamFlow.createTeam, "To create a new team, click the plus.", "要创建新团队，请单击加号。", "Um ein neues Team zu erstellen, klicken Sie auf das Plus.", "Per creare un nuovo team, fai clic sul segno più.", "Para criar uma nova equipe, clique no sinal de mais.", "Pentru a crea o nouă echipă, faceți clic pe plus.", "For at oprette et nyt team skal du klikke på plus.", "Para crear un nuevo equipo, haz clic en el signo más.", "Pour créer une nouvelle équipe, cliquez sur le signe plus.", "Yeni bir ekip oluşturmak için artıya tıklayın."
addTeamFlow.addNewTeam, Add new team, 添加新团队, Neues Team hinzufügen, Aggiungi nuovo team, Adicionar nova equipe, Adăugați o nouă echipă, Tilføj nyt team, Agregar nuevo equipo, Ajouter une nouvelle équipe, Yeni takım ekle
addTeamFlow.teamName, Team Name, 团队名称, Team-Name, Nome del team, Nome da equipe, Numele echipei, Teamnavn, Nombre del equipo, Nom de l'équipe, Takım Adı
addTeamFlow.addMembers, Add members, 添加成员, Mitglieder hinzufügen, Aggiungi membri, Adicionar membros, Adăugați membri, Tilføj medlemmer, Agregar miembros, Ajouter des membres, Üyeleri ekle
addTeamFlow.selectRole, Select role to add contact, 选择要添加的联系人角色, "Wählen Sie die Rolle aus, um den Kontakt hinzuzufügen", Seleziona il ruolo per aggiungere il contatto, Selecione a função para adicionar o contato, Selectați rolul pentru a adăuga contactul, Vælg rolle for at tilføje kontakten, Seleccione el rol para agregar el contacto, Sélectionnez le rôle pour ajouter le contact, Kişiyi eklemek için rol seçin
addTeamFlow.suggested, Suggested, 建议, Vorgeschlagen, Suggerito, Sugerido, Sugerat, Foreslået, Sugerido, Suggéré, Önerilen
addTeamFlow.currentMembers, Current Members, 当前成员, Aktuelle Mitglieder, Membri attuali, Membros atuais, Membri actuali, Nuværende medlemmer, Miembros actuales, Membres actuels, Mevcut Üyeler
addTeamFlow.updateRole, Update role, 更新角色, Rolle aktualisieren, Aggiorna ruolo, Atualizar função, Actualizați rolul, Opdater rolle, Actualizar rol, Mettre à jour le rôle, Rolü güncelle
addTeamFlow.removeMember, Remove member, 删除成员, Mitglied entfernen, Rimuovi membro, Remover membro, Eliminați membrul, Fjern medlem, Eliminar miembro, Supprimer le membre, Üyeyi kaldır
shareLabelPage.inviteUser, "To invite a new user, click the plus.", "要邀请新用户，请单击加号。", "Um einen neuen Benutzer einzuladen, klicken Sie auf das Plus.", "Per invitare un nuovo utente, fai clic sul segno più.", "Para convidar um novo usuário, clique no sinal de mais.", "Pentru a invita un utilizator nou, faceți clic pe plus.", "For at invitere en ny bruger skal du klikke på plus.", "Para invitar a un nuevo usuario, haz clic en el signo más.", "Pour inviter un nouvel utilisateur, cliquez sur le signe plus.", "Yeni bir kullanıcı davet etmek için artıya tıklayın."
shareLabelPage.revokeAccess, Revoke access, 撤销访问权限, Zugriff widerrufen, Revoca l'accesso, Revogar acesso, Revocă accesul, Tilbagekald adgang, Revocar acceso, Révoquer l'accès, Erişimi iptal et
shareLabelPage.currentUsers, Current users, 当前用户, Aktuelle Benutzer, Utenti attuali, Usuários atuais, Utilizatori actuali, Nuværende brugere, Usuarios actuales, Utilisateurs actuels, Mevcut Kullanıcılar
editTeamPage.editTeam, Edit team, 编辑团队, Team bearbeiten, Modifica team, Editar equipe, Editați echipa, Rediger team, Editar equipo, Modifier l'équipe, Takımı düzenle
editTeamPage.renameTeam, Rename Team, 重命名团队, Team umbenennen, Rinomina team, Renomear equipe, Redenumiți echipa, Omdøb team, Cambiar nombre de equipo, Renommer l'équipe, Takımı yeniden adlandır
error.failedToCreateLabel,Failed to create label,创建标签失败,Etikett konnte nicht erstellt werden,Impossibile creare l'etichetta,Falha ao criar etiqueta,Nu s-a reușit crearea etichetei,Kunne ikke oprette etiket,Error al crear etiqueta,Échec de la création d'une étiquette,Etiket oluşturulamadı
error.failedToCreateOrder,Failed to create order,创建订单失败,Bestellung konnte nicht erstellt werden,Impossibile creare un ordine,Falha ao criar o pedido,Nu s-a reușit crearea comenzii,Kunne ikke oprette ordre,Error al crear el pedido,Échec de la création de la commande,Sipariş oluşturulamadı
error.failedToGenerateOrder,Failed to generate order,生成订单失败,Bestellung konnte nicht generiert werden,Impossibile generare l'ordine,Falha ao gerar o pedido,Nu s-a reușit generarea comenzii,Kunne ikke generere ordre,Error al generar pedido,Échec de la génération de la commande,Sipariş oluşturulamadı
error.failedToFetchLabel,Failed to fetch label,获取标签失败,Etikettenabruf fehlgeschlagen,Impossibile recuperare le etichette,Falha ao buscar etiqueta,Nu s-a reușit să se obțină eticheta,Kunne ikke hente etiket,Error al recuperar etiquetas,Échec de la récupération de l'étiquette,Etiket getirilemedi
error.failedToFetchLabels,Failed to fetch labels,提取标签失败,Etikettenabruf fehlgeschlagen,Impossibile recuperare le etichette,Falha ao buscar etiquetas,Nu s-a reușit să se obțină etichete,Kunne ikke hente etiketter,Error al recuperar etiquetas,Échec de l'extraction des étiquettes,Etiketler getirilemedi
error.failedToFetchOrder,Failed to fetch order,获取订单失败,Bestellung kann nicht geladen werden,Non riuscito a recuperare l'ordine,Falha ao buscar o pedido,Nu s-a reușit să se obțină comanda,Kunne ikke hente ordre,Error al recuperar pedido,Échec de la récupération de la commande,Sipariş alınamadı
error.failedToFetchOrderId,Failed to fetch order id,获取订单 ID 失败,Abrufen der Bestellnummer fehlgeschlagen,Non è riuscito a recuperare l'id dell'ordine,Falha ao buscar o ID do pedido,Nu s-a reușit să se obțină id-ul comenzii,Kunne ikke hente ordre-id,Error al recuperar el ID del pedido,Échec de la recherche de l'identifiant de la commande,Sipariş kimliği getirilemedi
error.failedToUpdateLabelName,Failed to update label name,更新标签名称失败,Aktualisierung des Etikettennamens fehlgeschlagen,Aggiornamento fallito del nome dell'etichetta,Falha ao atualizar o nome da etiqueta,Nu s-a reușit să se actualizeze numele etichetei,Kunne ikke opdatere etiketnavn,Error al actualizar nombre de etiqueta,Échec de la mise à jour du nom de l'étiquette,Etiket adı güncellenemedi
error.failedToUpdateOrderName,Failed to update order name,更新订单名称失败,Aktualisierung des Auftragsnamens fehlgeschlagen,Aggiornamento fallito del nome dell'ordine,Falha ao atualizar o nome do pedido,Nu s-a reușit să se actualizeze numele comenzii,Kunne ikke opdatere ordrenavn,Error al actualizar el nombre del pedido,Échec de la mise à jour du nom de la commande,Sipariş adı güncellenemedi
error.failedToUpdateUserLanguage,Failed to update user language,更新用户语言失败,Aktualisierung der Benutzersprache fehlgeschlagen,Non è riuscito ad aggiornare la lingua dell'utente,Falha ao atualizar o idioma do usuário,Nu a reușit să actualizeze limba utilizatorului,Kunne ikke opdatere brugerens sprog,Error al actualizar el idioma del usuario,Échec de la mise à jour de la langue de l'utilisateur,Kullanıcı dili güncellenemedi
error.failedToUpdateCompanyInformation,Failed to update company information,更新公司信息失败,Aktualisierung der Firmeninformationen fehlgeschlagen,Aggiornamento fallito delle informazioni sulla società,Falha ao atualizar as informações da empresa,Nu a reușit să actualizeze informațiile despre companie,Kunne ikke opdatere virksomhedsoplysninger,Error al actualizar la información de la empresa,Échec de la mise à jour des informations sur la société,Şirket bilgileri güncellenemedi
error.failedToUpdatePositionInformation,Failed to update position information,更新位置信息失败,Aktualisierung der Positionsdaten fehlgeschlagen,Non è riuscito ad aggiornare le informazioni sulla posizione,Falha ao atualizar as informações da posição,Nu a reușit să actualizeze informațiile privind poziția,Kunne ikke opdatere positionsoplysninger,Error al actualizar la información de la posición,Échec de la mise à jour des informations sur le poste,Pozisyon bilgileri güncellenemedi
error.failedToDownloadQR,Failed to download QR,下载 QR 失败,QR-Download fehlgeschlagen,Non è riuscito a scaricare il QR,Falha ao fazer o download do QR,Nu a reușit să descarce QR,Kunne ikke downloade QR,Error al descargar QR,Échec du téléchargement de QR,QR indirilemedi
error.failedToDelete_name,Failed to delete {{name}},删除{{name}}失败,Löschen fehlgeschlagen {{name}},Non riuscito a cancellare {{name}},Falha ao excluir {{name}},Nu a reușit să șteargă {{name}},Kunne ikke slette {{name}},Error al borrar {{name}},Échec de la suppression de {{name}},Silinemedi {{name}}
error.failedToUpdateOrder,Failed to update order,更新订单失败,Aktualisierung der Bestellung fehlgeschlagen,Non è riuscito ad aggiornare l'ordine,Falha ao atualizar a ordem,Nu a reușit să actualizeze comanda,Kunne ikke opdatere ordre,Error al actualizar la orden,Échec de la mise à jour de l'ordre,Sipariş güncellenemedi
error.failedToDeleteOrder,Failed to delete order,删除订单失败,Auftrag konnte nicht gelöscht werden,Non riuscito a cancellare l'ordine,Falha ao excluir a ordem,Nu a reușit să șteargă un ordin,Kunne ikke slette ordre,Error al eliminar orden,Échec de la suppression de l'ordre,Sipariş silinemedi
error.failedToFetchOrders,Failed to fetch orders,获取订单失败,Abrufen von Aufträgen fehlgeschlagen,Non è riuscito a recuperare gli ordini,Falha ao buscar pedidos,Nu a reușit să obțină ordine,Kunne ikke hente ordrer,Error al recuperar pedidos,Échec de la recherche d'ordres,Siparişler alınamadı
error.failedToFetchVisitorData,Failed to fetch visitor data,获取游客数据失败,Abruf von Besucherdaten fehlgeschlagen,Impossibile recuperare i dati dei visitatori,Falha ao buscar dados do visitante,Nu s-a reușit să se obțină date despre vizitatori,Kunne ikke hente besøgsdata,Error en la búsqueda de datos de visitantes,Échec de la recherche de données sur les visiteurs,Ziyaretçi verileri alınamadı
error.failedToDeletePendingEmailAddress,Failed to delete pending email address.,,,,,,,,,
error.failedToUpdateUserProfile,Failed to update user profile,更新用户配置文件失败,Aktualisierung des Benutzerprofils fehlgeschlagen,Aggiornamento del profilo utente fallito,Falha ao atualizar o perfil do usuário,Nu s-a reușit să se actualizeze profilul utilizatorului,Kunne ikke opdatere brugerprofil,Error al actualizar el perfil de usuario,Échec de la mise à jour du profil de l'utilisateur,Kullanıcı profili güncellenemedi
error.failedToCreateTeam,Failed to create team,创建团队失败,Team konnte nicht erstellt werden,Impossibile creare il team,Falha ao criar equipe,Nu s-a reușit crearea echipei,Kunne ikke oprette team,Error al crear equipo,Échec de la création d'une équipe,Takım oluşturulamadı
error.anErrorOccurred,An error occurred,出现错误,Ein Fehler ist aufgetreten,Si è verificato un errore,Ocorreu um erro,S-a produs o eroare,Der opstod en fejl,Se ha producido un error,Une erreur s'est produite,Bir hata oluştu
error.incorrectCode,Incorrect code,代码不正确,Falscher Code,Codice errato,Código incorreto,Cod incorect,Forkert kode,Código incorrecto,Code incorrect,Yanlış kod
error.pleaseTryAgain,Please try again,请重试,Bitte versuchen Sie es erneut,Riprovare,Tente novamente,Vă rugăm să încercați din nou,Prøv venligst igen,Vuelva a intentarlo,Veuillez réessayer,Lütfen tekrar deneyin
error.failedToCopyToClipboard, Failed to copy to clipboard, 复制到剪贴板失败, Kopieren in die Zwischenablage fehlgeschlagen, Impossibile copiare negli appunti, Falha ao copiar para a área de transferência, Nu s-a reușit copierea în clipboard, Kunne ikke kopiere til udklipsholderen, Error al copiar al portapapeles, Échec de la copie dans le presse-papiers, Panoya kopyalanamadı
error.failedToRestartDomainVerification, Failed to restart domain verification, 重新开始域名验证失败, Neustart der Domain-Verifizierung fehlgeschlagen, Impossibile riavviare la verifica del dominio, Falha ao reiniciar a verificação de domínio, Nu s-a reușit repornirea verificării domeniului, Kunne ikke genstarte domæneverifikation, Error al reiniciar la verificación de dominio, Échec du redémarrage de la vérification de domaine, Alan adı doğrulaması yeniden başlatılamadı
error.failedToAddMember, Failed to add member to team, 添加成员到团队失败, Mitglied konnte nicht zum Team hinzugefügt werden, Impossibile aggiungere un membro al team, Falha ao adicionar membro à equipe, Nu s-a reușit adăugarea unui membru la echipă, Kunne ikke tilføje medlem til team, Error al agregar miembro al equipo, Échec de l'ajout d'un membre à l'équipe, Üye eklenemedi
error.failedToDeleteInvitation, Failed to delete invitation, 删除邀请失败, Einladung konnte nicht gelöscht werden, Impossibile eliminare l'invito, Falha ao excluir o convite, Nu s-a reușit ștergerea invitației, Kunne ikke slette invitation, Error al eliminar la invitación, Échec de la suppression de l'invitation, Davetiyeyi silme başarısız oldu
error.failedToGrantAccess, Failed to grant access, 授予访问权限失败, Fehler beim Gewähren des Zugriffs, Impossibile concedere l'accesso, Falha ao conceder acesso, Nu s-a reușit acordarea accesului, Kunne ikke give adgang, Error al otorgar acceso, Échec de l'octroi d'accès, Erişim verme başarısız oldu
error.failedToRevokeAccess, Failed to revoke access, 撤销访问权限失败, Zugriff konnte nicht widerrufen werden, Impossibile revocare l'accesso, Falha ao revogar o acesso, Nu s-a reușit revocarea accesului, Kunne ikke tilbagekalde adgang, Error al revocar el acceso, Échec de la révocation de l'accès, Erişimi geri alma başarısız oldu
